Categoría,Página,Posición,Descripción,Precio Normal,Precio Descuento,Imagen URL,Tallas
Recién Nacidos,1,1,Body camisa para bebé niño manga larga con corbatín,85990.0,,https://offcorss.vtexassets.com/arquivos/ids/864200/Body-camisa-para-bebe-niño-manga-larga-con-corbatin.jpg?v=638615942243330000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,1,2,Set x3 medias para bebé niño caña corta,35990.0,,https://offcorss.vtexassets.com/arquivos/ids/864487/Set-x3-medias-para-bebe-niño-caña-corta.jpg?v=638615943680570000,"0-3M, 12-24M, 3-6M, 6-12M"
Recién Nacidos,1,3,Conjunto para bebé niño de buzo + pantalón,119990.0,,https://offcorss.vtexassets.com/arquivos/ids/864380/Conjunto-para-bebe-niño-de-buzo---pantalon.jpg?v=638615943120700000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,1,4,Conjunto para bebé niño de camiseta + bermuda,109990.0,,https://offcorss.vtexassets.com/arquivos/ids/864350/Conjunto-para-bebe-niño-de-camiseta---bermuda.jpg?v=638615942962930000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,1,5,Chaqueta para bebé niño enguatada,125990.0,,https://offcorss.vtexassets.com/arquivos/ids/864410/Chaqueta-para-bebe-niño-enguatada.jpg?v=638615943271230000,"12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,1,6,Conjunto para bebé niño de camisa manga larga + pantalón,129990.0,,https://offcorss.vtexassets.com/arquivos/ids/864278/Conjunto-para-bebe-niño-de-camisa-manga-larga---pantalon.jpg?v=638615942651400000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,1,7,Conjunto para bebé niño de body camisa con corbatín + pantalón,139990.0,,https://offcorss.vtexassets.com/arquivos/ids/864302/Conjunto-para-bebe-niño-de-body-camisa-con-corbatin---pantalon.jpg?v=638615942755670000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,1,8,Conjunto para bebé niño de camisa con corbatín + overoll,145990.0,,https://offcorss.vtexassets.com/arquivos/ids/864326/Conjunto-para-bebe-niño-de-camisa-con-corbatin---overoll.jpg?v=638615942849530000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,1,9,Zapatos para bebé niño con personaje,85990.0,,https://offcorss.vtexassets.com/arquivos/ids/864155/Zapatos-para-recien-nacido-con-personaje.jpg?v=638615942003070000,"15, 16, 17, 18, 19"
Recién Nacidos,1,10,Body camisa para bebé niño manga larga con corbatín,85990.0,,https://offcorss.vtexassets.com/arquivos/ids/864204/Body-camisa-para-bebe-niño-manga-larga-con-corbatin.jpg?v=638615942262400000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,1,11,Camiseta para bebé niño con broches en hombro,45990.0,,https://offcorss.vtexassets.com/arquivos/ids/864110/Camiseta-para-bebe-niño-con-broches-en-hombro.jpg?v=638615941757200000,"12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,1,12,Medias para bebé niño en terry caña corta,12990.0,,https://offcorss.vtexassets.com/arquivos/ids/864435/Medias-para-bebe-en-terry-caña-corta.jpg?v=638615943407230000,"0-3M, 12-24M, 3-6M, 6-12M"
Recién Nacidos,1,13,Medias para bebé niño en terry caña corta,12990.0,,https://offcorss.vtexassets.com/arquivos/ids/864437/Medias-para-bebe-en-terry-caña-corta.jpg?v=638615943416530000,"0-3M, 12-24M, 3-6M, 6-12M"
Recién Nacidos,1,14,Zapatos para bebé niño primeros pasos,105990.0,,https://offcorss.vtexassets.com/arquivos/ids/864180/Zapatos-para-bebes-primeros-pasos.jpg?v=638615942145330000,"17, 18, 19, 20, 21"
Recién Nacidos,1,15,Body polo para bebé niño manga corta,55990.0,,https://offcorss.vtexassets.com/arquivos/ids/864248/Body-polo-para-bebe-niño-manga-corta.jpg?v=638615942493030000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,1,16,Camiseta polo para bebé niño,59990.0,,https://offcorss.vtexassets.com/arquivos/ids/864135/Camiseta-polo-para-bebe-niño.jpg?v=638615941888900000,"12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,1,17,Jean para bebé niño con cordón en cintura,89990.0,,https://offcorss.vtexassets.com/arquivos/ids/864503/Jean-para-bebe-con-cordon-en-cintura.jpg?v=638615943765870000,"12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,1,18,Set x3 de body para bebé niño manga corta,89990.0,,https://offcorss.vtexassets.com/arquivos/ids/864451/Set-x3-de-body-para-bebe-niño-manga-corta.jpg?v=638615943490430000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,1,19,Camiseta de baño manga larga para bebé niño,99990.0,69993.0,https://offcorss.vtexassets.com/arquivos/ids/863741/41337011-Blanco-10-0000_1.jpg?v=638602793546170000,"12M, 18M, 24M, 6-9M"
Recién Nacidos,1,20,Conjunto para bebé niño de buzo + sudadera,95990.0,,https://offcorss.vtexassets.com/arquivos/ids/863447/31125432-Gris-11-0601_1.jpg?v=638597749544730000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,1,21,Set x2 bodies para recién nacido niño manga larga,69990.0,,https://offcorss.vtexassets.com/arquivos/ids/867398/31201801-Azul-14-4515_1.jpg?v=638617446646600000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,1,22,Set x3 bodies para recién nacido niño,89990.0,,https://offcorss.vtexassets.com/arquivos/ids/870061/31201791-Gris-14-4102_1.jpg?v=638632983968300000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,1,23,Disfraz de dinosaurio para bebé niño,149990.0,,https://offcorss.vtexassets.com/arquivos/ids/862463/Disfraz-de-dinosaurio-para-recien-nacido.jpg?v=638591828687070000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,1,24,Camiseta para bebé niño,39990.0,27993.0,https://offcorss.vtexassets.com/arquivos/ids/864086/31036661-Gris-19-4007_1.jpg?v=638606412253030000,"12M, 18M, 24M, 2T, 3-6M, 6-9M"
Recién Nacidos,2,1,Zapatos primeros pasos para bebé niño,95990.0,,https://offcorss.vtexassets.com/arquivos/ids/860263/31103851-Verde-16-0220_1.jpg?v=638563008508800000,"17, 18, 19, 20, 21"
Recién Nacidos,2,2,Camisa para bebé niño manga corta,59990.0,,https://offcorss.vtexassets.com/arquivos/ids/837339/31041881-Blanco-10-0000_1.jpg?v=638448389783000000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,3,Conjunto para bebé niño de camiseta + bermuda,109990.0,,https://offcorss.vtexassets.com/arquivos/ids/860307/31125861-Azul-19-3921_1.jpg?v=638563008694470000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,4,Camiseta polo para bebé niño,49990.0,,https://offcorss.vtexassets.com/arquivos/ids/863600/Camiseta-polo-para-recien-nacido-niño.jpg?v=638600395006900000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,5,Conjunto para bebé niño de overall corto + camiseta,125990.0,,https://offcorss.vtexassets.com/arquivos/ids/860283/31125851-Arena-12-0602_1.jpg?v=638563008599370000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,6,Enterizo corto para bebé niño,85990.0,,https://offcorss.vtexassets.com/arquivos/ids/858618/31210891-Gris-11-0601_1.jpg?v=638557041626970000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,7,Conjunto para bebé niño de camiseta + sudadera,99990.0,,https://offcorss.vtexassets.com/arquivos/ids/858503/31125911-Verde-13-0111_1.jpg?v=638551143512170000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,8,Medias para bebé niño caña corta,29990.0,,https://offcorss.vtexassets.com/arquivos/ids/854710/31201731-Amarillo-11-0604_1.jpg?v=638540286347470000,"0-0M, 12-24M, 3-6M, 6-12M"
Recién Nacidos,2,9,Pantalón para bebé niño,65990.0,,https://offcorss.vtexassets.com/arquivos/ids/854549/31067791-Gris-19-4215_1.jpg?v=638540278339870000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,10,Body para bebé niño tipo polo,49990.0,,https://offcorss.vtexassets.com/arquivos/ids/861128/31119001-Rosado-13-1408_1.jpg?v=638575986163130000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,11,Buzo para bebé niño,75990.0,,https://offcorss.vtexassets.com/arquivos/ids/856880/31134771-Gris-19-3912_1.jpg?v=638542494417370000,"12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,12,Conjunto para bebé niño de camiseta + overall,125990.0,,https://offcorss.vtexassets.com/arquivos/ids/856871/31125841-Naranja-16-1357_1.jpg?v=638542494365930000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
Recién Nacidos,2,13,Body para bebé niño tipo polo,55990.0,,https://offcorss.vtexassets.com/arquivos/ids/854578/31118921-Naranja-16-1357_1.jpg?v=638540280035000000,"0-3M, 12M, 18M, 24M, 3-6M, 6-9M"
